order_id,order_date,customer_id,customer_name,product,category,region,quantity,unit_price,revenue,discount,profit
23,2025-11-24,CUST0260,Customer 0260,Coffee,Grocery,North,2,500,970.0,0.03,240.32
24,2025-11-03,CUST0166,Customer 0166,T-Shirt,Fashion,East,1,1200,1176.0,0.02,187.99
25,2025-05-03,CUST0030,Customer 0030,Keyboard,Electronics,West,5,2500,10125.0,0.19,1000.79
26,2025-02-05,CUST0390,Customer 0390,Jeans,Fashion,South,2,2500,4850.0,0.03,895.13
27,2025-05-16,CUST0271,Customer 0271,Coffee,Grocery,South,4,500,1620.0,0.19,460.66
28,2025-06-09,CUST0205,Customer 0205,Rice,Grocery,North,3,1000,2730.0,0.09,529.26
29,2025-05-07,CUST0116,Customer 0116,Phone,Electronics,South,3,30000,90000.0,0.0,18167.65
30,2025-01-04,CUST0037,Customer 0037,Oil,Grocery,East,1,1500,1425.0,0.05,397.85
31,2025-02-06,CUST0264,Customer 0264,Keyboard,Electronics,South,3,2500,6525.0,0.13,829.54
32,2025-10-20,CUST0296,Customer 0296,T-Shirt,Fashion,South,2,1200,2016.0,0.16,519.42
33,2025-02-18,CUST0050,Customer 0050,Rice,Grocery,North,4,1000,3720.0,0.07,634.05
34,2025-12-11,CUST0335,Customer 0335,Rice,Grocery,North,1,1000,990.0,0.01,237.8
35,2025-05-08,CUST0099,Customer 0099,Keyboard,Electronics,East,5,2500,11375.0,0.09,1965.76
36,2025-08-25,CUST0128,Customer 0128,Phone,Electronics,North,4,30000,100800.0,0.16,27045.92
37,2025-01-26,CUST0334,Customer 0334,Jeans,Fashion,South,1,2500,2025.0,0.19,574.7
38,2025-03-27,CUST0209,Customer 0209,T-Shirt,Fashion,North,4,1200,4608.0,0.04,775.2
39,2025-03-26,CUST0195,Customer 0195,Laptop,Electronics,West,4,65000,247000.0,0.05,62366.4
40,2025-05-27,CUST0217,Customer 0217,Oil,Grocery,South,5,1500,6525.0,0.13,1220.62
41,2025-06-01,CUST0112,Customer 0112,Laptop,Electronics,East,5,65000,276250.0,0.15,25804.7
42,2025-01-30,CUST0026,Customer 0026,Coffee,Grocery,South,4,500,1800.0,0.1,481.68
43,2025-01-30,CUST0492,Customer 0492,Jeans,Fashion,North,1,2500,2075.0,0.17,197.28
44,2025-12-12,CUST0442,Customer 0442,Keyboard,Electronics,South,4,2500,9800.0,0.02,2703.46
45,2025-10-24,CUST0305,Customer 0305,Laptop,Electronics,East,5,65000,318500.0,0.02,71542.14
46,2025-05-14,CUST0105,Customer 0105,Rice,Grocery,East,3,1000,2850.0,0.05,476.16
47,2025-08-23,CUST0162,Customer 0162,Phone,Electronics,North,1,30000,27300.0,0.09,8180.72
48,2025-02-07,CUST0276,Customer 0276,Keyboard,Electronics,North,5,2500,11875.0,0.05,3388.14
49,2025-05-06,CUST0190,Customer 0190,Chair,Furniture,East,2,7000,12740.0,0.09,2541.73
50,2025-11-10,CUST0414,Customer 0414,Rice,Grocery,East,5,1000,5000.0,0.0,1298.81
51,2025-12-06,CUST0054,Customer 0054,Headphones,Electronics,South,3,3000,8820.0,0.02,913.29
52,2025-05-20,CUST0145,Customer 0145,Coffee,Grocery,East,2,500,860.0,0.14,107.32
53,2025-09-16,CUST0251,Customer 0251,Chair,Furniture,East,1,7000,6860.0,0.02,1188.06
54,2025-01-23,CUST0002,Customer 0002,Desk,Furniture,West,2,12000,20880.0,0.13,2873.72
55,2025-10-10,CUST0362,Customer 0362,Shoes,Fashion,South,5,4000,20000.0,0.0,1931.07
56,2025-10-07,CUST0019,Customer 0019,Desk,Furniture,North,5,12000,53400.0,0.11,9321.13
57,2025-06-07,CUST0187,Customer 0187,Laptop,Electronics,North,3,65000,187200.0,0.04,25252.63
58,2025-07-01,CUST0400,Customer 0400,Jeans,Fashion,South,4,2500,8100.0,0.19,1983.57
59,2025-03-25,CUST0500,Customer 0500,Headphones,Electronics,East,4,3000,12000.0,0.0,2904.53
60,2025-07-30,CUST0411,Customer 0411,Rice,Grocery,North,2,1000,1900.0,0.05,481.12
61,2025-07-15,CUST0447,Customer 0447,Laptop,Electronics,West,4,65000,249600.0,0.04,64808.4
62,2025-06-29,CUST0157,Customer 0157,Keyboard,Electronics,East,2,2500,5000.0,0.0,612.44
63,2025-05-23,CUST0443,Customer 0443,Phone,Electronics,East,3,30000,83700.0,0.07,16076.2
64,2025-01-15,CUST0060,Customer 0060,Chair,Furniture,North,2,7000,12320.0,0.12,3651.42
65,2025-02-25,CUST0306,Customer 0306,Shoes,Fashion,North,3,4000,10200.0,0.15,1519.89
66,2025-07-17,CUST0461,Customer 0461,Coffee,Grocery,North,2,500,950.0,0.05,224.14
67,2025-09-24,CUST0474,Customer 0474,Jeans,Fashion,East,2,2500,4650.0,0.07,443.58
68,2025-11-16,CUST0161,Customer 0161,Rice,Grocery,East,1,1000,860.0,0.14,125.62
69,2025-12-08,CUST0210,Customer 0210,Desk,Furniture,South,4,12000,41280.0,0.14,8337.35
70,2025-08-04,CUST0341,Customer 0341,Shoes,Fashion,North,2,4000,7040.0,0.12,1029.31
71,2025-06-05,CUST0147,Customer 0147,Keyboard,Electronics,East,4,2500,8400.0,0.16,1793.11
72,2025-08-27,CUST0227,Customer 0227,T-Shirt,Fashion,South,2,1200,2160.0,0.1,549.98
73,2025-12-04,CUST0044,Customer 0044,Chair,Furniture,North,5,7000,30450.0,0.13,6584.43
74,2025-05-01,CUST0345,Customer 0345,Chair,Furniture,North,2,7000,11760.0,0.16,1322.03
75,2025-05-06,CUST0244,Customer 0244,Coffee,Grocery,South,1,500,455.0,0.09,125.1
76,2025-12-23,CUST0197,Customer 0197,T-Shirt,Fashion,North,4,1200,4560.0,0.05,1022.96
77,2025-02-24,CUST0399,Customer 0399,Shoes,Fashion,West,2,4000,7680.0,0.04,2232.98
78,2025-01-26,CUST0286,Customer 0286,Keyboard,Electronics,East,1,2500,2275.0,0.09,583.11
79,2025-08-15,CUST0314,Customer 0314,Oil,Grocery,West,5,1500,6825.0,0.09,1907.64
80,2025-03-23,CUST0381,Customer 0381,T-Shirt,Fashion,East,4,1200,4560.0,0.05,612.83
81,2025-09-24,CUST0249,Customer 0249,Rice,Grocery,East,2,1000,1900.0,0.05,184.39
82,2025-05-01,CUST0140,Customer 0140,Desk,Furniture,South,3,12000,29520.0,0.18,2884.9
83,2025-04-29,CUST0197,Customer 0197,Oil,Grocery,West,2,1500,2580.0,0.14,242.86
84,2025-06-19,CUST0278,Customer 0278,T-Shirt,Fashion,West,4,1200,4752.0,0.01,1250.9
85,2025-10-27,CUST0485,Customer 0485,Oil,Grocery,West,1,1500,1245.0,0.17,309.3
86,2025-09-02,CUST0004,Customer 0004,Desk,Furniture,West,3,12000,30600.0,0.15,8193.41
87,2025-10-03,CUST0383,Customer 0383,Oil,Grocery,West,5,1500,6300.0,0.16,1748.37
88,2025-04-23,CUST0140,Customer 0140,Shoes,Fashion,West,4,4000,15840.0,0.01,2438.54
89,2025-03-26,CUST0431,Customer 0431,T-Shirt,Fashion,West,2,1200,1920.0,0.2,379.21
90,2025-10-31,CUST0289,Customer 0289,Rice,Grocery,West,1,1000,980.0,0.02,170.81
91,2025-04-04,CUST0026,Customer 0026,Chair,Furniture,East,4,7000,26040.0,0.07,4688.08
92,2025-07-14,CUST0143,Customer 0143,Shoes,Fashion,North,3,4000,9960.0,0.17,1827.34
93,2025-06-29,CUST0115,Customer 0115,Rice,Grocery,North,1,1000,840.0,0.16,187.64
94,2025-05-07,CUST0103,Customer 0103,Laptop,Electronics,North,5,65000,315250.0,0.03,33974.06
95,2025-10-16,CUST0486,Customer 0486,Keyboard,Electronics,South,4,2500,8600.0,0.14,2138.97
96,2025-11-07,CUST0311,Customer 0311,Oil,Grocery,East,1,1500,1260.0,0.16,146.2
97,2025-02-25,CUST0297,Customer 0297,Laptop,Electronics,West,3,65000,171600.0,0.12,48007.8
98,2025-07-23,CUST0483,Customer 0483,Oil,Grocery,South,2,1500,2940.0,0.02,681.89
99,2025-02-22,CUST0357,Customer 0357,Chair,Furniture,North,5,7000,29400.0,0.16,7502.0
100,2025-06-27,CUST0273,Customer 0273,Shoes,Fashion,North,3,4000,11880.0,0.01,2642.82
101,2025-08-04,CUST0422,Customer 0422,T-Shirt,Fashion,West,1,1200,1092.0,0.09,174.37
102,2025-12-29,CUST0079,Customer 0079,Shoes,Fashion,East,2,4000,6800.0,0.15,1988.35
103,2025-11-12,CUST0414,Customer 0414,Jeans,Fashion,East,4,2500,9100.0,0.09,2381.12
104,2025-06-15,CUST0437,Customer 0437,Keyboard,Electronics,West,1,2500,2350.0,0.06,421.06
105,2025-10-19,CUST0313,Customer 0313,Rice,Grocery,East,4,1000,3720.0,0.07,702.14
106,2025-04-04,CUST0250,Customer 0250,Keyboard,Electronics,East,3,2500,6300.0,0.16,975.71
107,2025-10-12,CUST0006,Customer 0006,Jeans,Fashion,West,2,2500,4900.0,0.02,1168.24
108,2025-10-12,CUST0389,Customer 0389,Keyboard,Electronics,North,4,2500,8700.0,0.13,1635.43
109,2025-02-17,CUST0151,Customer 0151,Keyboard,Electronics,East,4,2500,8600.0,0.14,1267.34
110,2025-08-31,CUST0284,Customer 0284,Jeans,Fashion,East,3,2500,6825.0,0.09,1666.02
111,2025-06-30,CUST0360,Customer 0360,T-Shirt,Fashion,South,3,1200,3384.0,0.06,442.35
112,2025-06-11,CUST0062,Customer 0062,Oil,Grocery,South,5,1500,6075.0,0.19,1408.4
113,2025-04-21,CUST0379,Customer 0379,T-Shirt,Fashion,East,3,1200,3096.0,0.14,912.87
114,2025-02-21,CUST0427,Customer 0427,Keyboard,Electronics,North,3,2500,7125.0,0.05,851.27
115,2025-12-29,CUST0274,Customer 0274,Headphones,Electronics,East,3,3000,8910.0,0.01,819.68
116,2025-12-24,CUST0484,Customer 0484,Headphones,Electronics,East,4,3000,11760.0,0.02,972.53
117,2025-08-29,CUST0246,Customer 0246,T-Shirt,Fashion,West,3,1200,3456.0,0.04,315.54
118,2025-02-28,CUST0421,Customer 0421,Phone,Electronics,North,4,30000,108000.0,0.1,22350.02
119,2025-03-19,CUST0077,Customer 0077,Coffee,Grocery,West,3,500,1470.0,0.02,197.86
120,2025-11-07,CUST0306,Customer 0306,Coffee,Grocery,West,2,500,840.0,0.16,137.49
121,2025-06-02,CUST0441,Customer 0441,Coffee,Grocery,North,4,500,1880.0,0.06,407.26
122,2025-04-17,CUST0321,Customer 0321,Keyboard,Electronics,South,3,2500,6525.0,0.13,747.46
123,2025-10-10,CUST0039,Customer 0039,Headphones,Electronics,West,1,3000,2760.0,0.08,639.39
124,2025-05-30,CUST0017,Customer 0017,Keyboard,Electronics,West,3,2500,6450.0,0.14,1513.54
125,2025-02-06,CUST0352,Customer 0352,Keyboard,Electronics,South,3,2500,6300.0,0.16,1370.33
126,2025-08-06,CUST0059,Customer 0059,Jeans,Fashion,South,2,2500,4350.0,0.13,1217.35
127,2025-02-06,CUST0031,Customer 0031,Headphones,Electronics,East,3,3000,7920.0,0.12,2069.76
128,2025-08-13,CUST0064,Customer 0064,T-Shirt,Fashion,West,3,1200,3096.0,0.14,889.76
129,2025-08-13,CUST0042,Customer 0042,Coffee,Grocery,East,1,500,410.0,0.18,99.05
130,2025-01-14,CUST0047,Customer 0047,Keyboard,Electronics,East,5,2500,11000.0,0.12,930.2
131,2025-10-23,CUST0021,Customer 0021,Headphones,Electronics,East,4,3000,10800.0,0.1,1914.74
132,2025-04-03,CUST0300,Customer 0300,Shoes,Fashion,West,4,4000,12960.0,0.19,2376.89
133,2025-06-20,CUST0165,Customer 0165,Rice,Grocery,West,1,1000,830.0,0.17,126.62
134,2025-05-28,CUST0340,Customer 0340,Shoes,Fashion,East,5,4000,19800.0,0.01,1967.59
135,2025-06-15,CUST0060,Customer 0060,Shoes,Fashion,West,5,4000,16800.0,0.16,1348.25
136,2025-07-31,CUST0028,Customer 0028,Keyboard,Electronics,West,5,2500,11625.0,0.07,2864.6
137,2025-01-27,CUST0105,Customer 0105,Chair,Furniture,West,5,7000,33950.0,0.03,4867.29
138,2025-03-04,CUST0015,Customer 0015,Rice,Grocery,East,5,1000,4200.0,0.16,991.84
139,2025-10-10,CUST0008,Customer 0008,Jeans,Fashion,North,4,2500,9800.0,0.02,2923.31
140,2025-08-25,CUST0485,Customer 0485,Phone,Electronics,East,2,30000,54000.0,0.1,12833.25
141,2025-08-01,CUST0428,Customer 0428,T-Shirt,Fashion,West,4,1200,4560.0,0.05,917.83
142,2025-04-08,CUST0472,Customer 0472,Coffee,Grocery,North,5,500,2125.0,0.15,233.82
143,2025-05-22,CUST0396,Customer 0396,Shoes,Fashion,North,3,4000,9720.0,0.19,1863.35
144,2025-05-25,CUST0372,Customer 0372,Chair,Furniture,South,5,7000,30800.0,0.12,6935.76
145,2025-08-17,CUST0276,Customer 0276,T-Shirt,Fashion,West,3,1200,3348.0,0.07,829.74
146,2025-08-22,CUST0478,Customer 0478,Desk,Furniture,West,2,12000,19200.0,0.2,2544.71
147,2025-04-30,CUST0439,Customer 0439,Shoes,Fashion,West,1,4000,3760.0,0.06,692.05
148,2025-07-17,CUST0340,Customer 0340,Rice,Grocery,East,2,1000,1800.0,0.1,158.66
149,2025-02-21,CUST0448,Customer 0448,T-Shirt,Fashion,South,1,1200,1068.0,0.11,192.8
150,2025-07-29,CUST0446,Customer 0446,Rice,Grocery,East,2,1000,1980.0,0.01,498.83
151,2025-06-23,CUST0320,Customer 0320,Oil,Grocery,West,4,1500,5220.0,0.13,1395.77
152,2025-06-12,CUST0321,Customer 0321,Oil,Grocery,North,4,1500,4980.0,0.17,437.73
153,2025-05-01,CUST0324,Customer 0324,Rice,Grocery,West,3,1000,2400.0,0.2,586.29
154,2025-02-20,CUST0390,Customer 0390,Rice,Grocery,North,1,1000,910.0,0.09,211.74
155,2025-01-24,CUST0167,Customer 0167,Laptop,Electronics,South,3,65000,181350.0,0.07,31691.11
156,2025-09-29,CUST0211,Customer 0211,Coffee,Grocery,West,2,500,970.0,0.03,94.45
157,2025-11-14,CUST0350,Customer 0350,Keyboard,Electronics,West,4,2500,8200.0,0.18,914.18
158,2025-11-23,CUST0131,Customer 0131,T-Shirt,Fashion,West,3,1200,3132.0,0.13,869.94
159,2025-05-28,CUST0347,Customer 0347,Jeans,Fashion,East,2,2500,4950.0,0.01,1425.36
160,2025-11-24,CUST0493,Customer 0493,Shoes,Fashion,West,3,4000,10920.0,0.09,1599.42
161,2025-09-05,CUST0055,Customer 0055,Keyboard,Electronics,East,4,2500,8900.0,0.11,1837.48
162,2025-01-12,CUST0425,Customer 0425,Rice,Grocery,North,4,1000,3800.0,0.05,777.12
163,2025-11-07,CUST0382,Customer 0382,T-Shirt,Fashion,East,3,1200,3024.0,0.16,395.01
164,2025-04-23,CUST0326,Customer 0326,Keyboard,Electronics,South,5,2500,11875.0,0.05,2923.95
165,2025-11-18,CUST0050,Customer 0050,Rice,Grocery,East,1,1000,940.0,0.06,166.36
166,2025-03-09,CUST0047,Customer 0047,Chair,Furniture,South,3,7000,17850.0,0.15,2117.74
167,2025-10-04,CUST0449,Customer 0449,Desk,Furniture,South,5,12000,54000.0,0.1,7557.62
168,2025-05-12,CUST0468,Customer 0468,T-Shirt,Fashion,North,3,1200,3060.0,0.15,472.82
169,2025-08-28,CUST0494,Customer 0494,Phone,Electronics,West,2,30000,51000.0,0.15,6611.4
170,2025-10-13,CUST0188,Customer 0188,Phone,Electronics,West,4,30000,120000.0,0.0,23765.51
171,2025-07-08,CUST0345,Customer 0345,Oil,Grocery,East,3,1500,3960.0,0.12,1033.29
172,2025-02-25,CUST0346,Customer 0346,Keyboard,Electronics,East,4,2500,9900.0,0.01,2717.86
173,2025-11-09,CUST0114,Customer 0114,Rice,Grocery,East,1,1000,870.0,0.13,158.46
174,2025-11-29,CUST0210,Customer 0210,Phone,Electronics,West,2,30000,59400.0,0.01,5238.29
175,2025-03-01,CUST0050,Customer 0050,Keyboard,Electronics,West,5,2500,12125.0,0.03,2180.09
176,2025-10-28,CUST0381,Customer 0381,Oil,Grocery,West,2,1500,2460.0,0.18,551.24
177,2025-11-12,CUST0209,Customer 0209,Chair,Furniture,West,1,7000,6020.0,0.14,769.35
178,2025-05-01,CUST0438,Customer 0438,Desk,Furniture,East,1,12000,9600.0,0.2,1543.81
179,2025-02-01,CUST0204,Customer 0204,Chair,Furniture,West,2,7000,11340.0,0.19,3274.79
180,2025-02-16,CUST0340,Customer 0340,Keyboard,Electronics,East,5,2500,10125.0,0.19,922.66
181,2025-05-05,CUST0065,Customer 0065,Coffee,Grocery,South,2,500,990.0,0.01,245.85
182,2025-10-28,CUST0111,Customer 0111,Keyboard,Electronics,North,3,2500,6375.0,0.15,1616.07
183,2025-05-22,CUST0440,Customer 0440,Headphones,Electronics,North,2,3000,5340.0,0.11,1365.29
184,2025-12-05,CUST0444,Customer 0444,Laptop,Electronics,South,2,65000,130000.0,0.0,32993.56
185,2025-10-29,CUST0166,Customer 0166,Laptop,Electronics,West,2,65000,123500.0,0.05,13324.03
186,2025-09-27,CUST0059,Customer 0059,Oil,Grocery,North,1,1500,1350.0,0.1,339.07
187,2025-08-20,CUST0258,Customer 0258,Keyboard,Electronics,East,5,2500,12375.0,0.01,3122.34
188,2025-08-23,CUST0330,Customer 0330,Laptop,Electronics,West,1,65000,52000.0,0.2,13853.1
189,2025-12-18,CUST0056,Customer 0056,T-Shirt,Fashion,South,4,1200,4752.0,0.01,464.62
190,2025-02-03,CUST0065,Customer 0065,Chair,Furniture,East,5,7000,30450.0,0.13,6109.44
191,2025-07-15,CUST0306,Customer 0306,Jeans,Fashion,North,3,2500,6825.0,0.09,1455.05
192,2025-12-26,CUST0059,Customer 0059,Rice,Grocery,West,5,1000,4300.0,0.14,547.41
193,2025-04-27,CUST0212,Customer 0212,Desk,Furniture,East,4,12000,44160.0,0.08,10621.13
194,2025-08-07,CUST0161,Customer 0161,Rice,Grocery,West,3,1000,2790.0,0.07,316.89
195,2025-02-04,CUST0047,Customer 0047,Phone,Electronics,East,1,30000,27300.0,0.09,6656.0
196,2025-03-08,CUST0285,Customer 0285,Laptop,Electronics,North,5,65000,263250.0,0.19,53589.89
197,2025-07-30,CUST0182,Customer 0182,Rice,Grocery,East,4,1000,3320.0,0.17,792.26
198,2025-11-04,CUST0160,Customer 0160,Desk,Furniture,West,1,12000,10560.0,0.12,1339.03
199,2025-04-25,CUST0434,Customer 0434,Phone,Electronics,East,3,30000,74700.0,0.17,12016.5
200,2025-10-21,CUST0116,Customer 0116,Shoes,Fashion,North,5,4000,16200.0,0.19,4212.87
201,2025-11-08,CUST0476,Customer 0476,Rice,Grocery,East,3,1000,2970.0,0.01,416.15
202,2025-06-23,CUST0180,Customer 0180,Laptop,Electronics,West,2,65000,107900.0,0.17,22075.33
203,2025-02-05,CUST0073,Customer 0073,Oil,Grocery,West,1,1500,1470.0,0.02,289.16
204,2025-08-03,CUST0233,Customer 0233,Desk,Furniture,North,2,12000,22320.0,0.07,5328.92
205,2025-01-27,CUST0080,Customer 0080,Headphones,Electronics,West,5,3000,14850.0,0.01,1454.53
206,2025-12-05,CUST0218,Customer 0218,T-Shirt,Fashion,North,5,1200,5460.0,0.09,764.93
207,2025-06-26,CUST0221,Customer 0221,Phone,Electronics,East,3,30000,77400.0,0.14,16291.89
208,2025-01-24,CUST0113,Customer 0113,Shoes,Fashion,South,5,4000,19800.0,0.01,2474.47
209,2025-03-12,CUST0392,Customer 0392,Chair,Furniture,West,3,7000,19530.0,0.07,1595.61
210,2025-03-31,CUST0067,Customer 0067,Shoes,Fashion,East,5,4000,17200.0,0.14,3268.99
211,2025-02-06,CUST0204,Customer 0204,Oil,Grocery,North,1,1500,1365.0,0.09,247.26
212,2025-06-10,CUST0295,Customer 0295,Shoes,Fashion,East,5,4000,18400.0,0.08,4063.29
213,2025-02-28,CUST0208,Customer 0208,Laptop,Electronics,West,3,65000,189150.0,0.03,54565.07
214,2025-12-20,CUST0471,Customer 0471,Desk,Furniture,West,1,12000,10920.0,0.09,1127.93
215,2025-10-29,CUST0206,Customer 0206,Jeans,Fashion,East,1,2500,2300.0,0.08,341.0
216,2025-04-24,CUST0171,Customer 0171,Headphones,Electronics,South,1,3000,2700.0,0.1,283.73
217,2025-06-28,CUST0180,Customer 0180,Oil,Grocery,South,2,1500,2850.0,0.05,319.82
218,2025-03-30,CUST0309,Customer 0309,Headphones,Electronics,West,1,3000,2880.0,0.04,720.08
219,2025-08-26,CUST0387,Customer 0387,Coffee,Grocery,East,5,500,2275.0,0.09,644.54
220,2025-11-18,CUST0162,Customer 0162,Headphones,Electronics,East,4,3000,11880.0,0.01,2106.15
221,2025-05-21,CUST0303,Customer 0303,Laptop,Electronics,West,3,65000,175500.0,0.1,26024.85
222,2025-01-20,CUST0030,Customer 0030,Desk,Furniture,North,3,12000,35280.0,0.02,9530.36
223,2025-11-11,CUST0305,Customer 0305,Jeans,Fashion,North,4,2500,9100.0,0.09,1837.74
224,2025-08-19,CUST0466,Customer 0466,Coffee,Grocery,South,2,500,940.0,0.06,173.56
225,2025-02-01,CUST0231,Customer 0231,Phone,Electronics,South,3,30000,72000.0,0.2,7095.77
226,2025-01-21,CUST0127,Customer 0127,Oil,Grocery,South,4,1500,4800.0,0.2,937.42
227,2025-07-06,CUST0191,Customer 0191,Chair,Furniture,North,4,7000,25760.0,0.08,3978.39
228,2025-11-20,CUST0332,Customer 0332,Desk,Furniture,West,1,12000,11160.0,0.07,2262.71
229,2025-05-26,CUST0130,Customer 0130,Oil,Grocery,South,5,1500,6225.0,0.17,954.54
230,2025-06-29,CUST0159,Customer 0159,Rice,Grocery,North,4,1000,3880.0,0.03,915.46
231,2025-06-08,CUST0287,Customer 0287,Shoes,Fashion,North,3,4000,10080.0,0.16,2292.45
232,2025-11-27,CUST0344,Customer 0344,Shoes,Fashion,South,5,4000,18600.0,0.07,2971.75
233,2025-04-20,CUST0175,Customer 0175,T-Shirt,Fashion,North,2,1200,2280.0,0.05,251.4
234,2025-06-01,CUST0433,Customer 0433,Phone,Electronics,North,5,30000,127500.0,0.15,33625.11
235,2025-12-05,CUST0173,Customer 0173,Coffee,Grocery,South,2,500,880.0,0.12,100.26
236,2025-12-21,CUST0395,Customer 0395,Coffee,Grocery,East,2,500,860.0,0.14,77.07
237,2025-12-13,CUST0369,Customer 0369,Keyboard,Electronics,West,4,2500,8800.0,0.12,2160.63
238,2025-04-30,CUST0274,Customer 0274,Keyboard,Electronics,South,3,2500,6075.0,0.19,1534.31
239,2025-07-08,CUST0348,Customer 0348,Coffee,Grocery,West,4,500,1820.0,0.09,258.42
240,2025-09-15,CUST0271,Customer 0271,Shoes,Fashion,South,2,4000,6720.0,0.16,1722.18
241,2025-05-09,CUST0027,Customer 0027,Rice,Grocery,North,4,1000,3320.0,0.17,670.64
242,2025-12-31,CUST0434,Customer 0434,Jeans,Fashion,East,1,2500,2350.0,0.06,582.53
243,2025-08-19,CUST0464,Customer 0464,Jeans,Fashion,South,2,2500,4150.0,0.17,415.73
244,2025-08-19,CUST0453,Customer 0453,Desk,Furniture,East,1,12000,11040.0,0.08,1846.11
245,2025-05-01,CUST0198,Customer 0198,Phone,Electronics,North,3,30000,86400.0,0.04,12969.56
246,2025-11-29,CUST0172,Customer 0172,Headphones,Electronics,West,2,3000,5940.0,0.01,1674.05
247,2025-12-23,CUST0426,Customer 0426,Headphones,Electronics,North,4,3000,10920.0,0.09,886.22
248,2025-01-10,CUST0132,Customer 0132,Keyboard,Electronics,West,2,2500,4450.0,0.11,1067.96
249,2025-02-26,CUST0398,Customer 0398,Chair,Furniture,West,2,7000,13160.0,0.06,1191.04
250,2025-11-24,CUST0407,Customer 0407,Coffee,Grocery,West,4,500,1980.0,0.01,522.86
251,2025-11-02,CUST0275,Customer 0275,Laptop,Electronics,East,5,65000,286000.0,0.12,68090.81
252,2025-08-08,CUST0001,Customer 0001,Coffee,Grocery,North,3,500,1425.0,0.05,244.59
253,2025-09-26,CUST0500,Customer 0500,Desk,Furniture,North,1,12000,9720.0,0.19,1941.06
254,2025-07-19,CUST0448,Customer 0448,T-Shirt,Fashion,East,1,1200,1044.0,0.13,308.85
255,2025-01-09,CUST0183,Customer 0183,Phone,Electronics,North,3,30000,85500.0,0.05,19200.13
256,2025-10-25,CUST0377,Customer 0377,Desk,Furniture,South,2,12000,23760.0,0.01,4754.92
257,2025-12-17,CUST0238,Customer 0238,Oil,Grocery,North,4,1500,5220.0,0.13,1349.52
258,2025-08-23,CUST0019,Customer 0019,Chair,Furniture,North,2,7000,13860.0,0.01,1717.02
259,2025-06-11,CUST0478,Customer 0478,Chair,Furniture,West,5,7000,32200.0,0.08,8352.34
260,2025-05-10,CUST0019,Customer 0019,Rice,Grocery,North,2,1000,1880.0,0.06,506.98
261,2025-12-02,CUST0170,Customer 0170,Chair,Furniture,West,1,7000,5880.0,0.16,1035.64
262,2025-08-14,CUST0459,Customer 0459,Shoes,Fashion,West,3,4000,9720.0,0.19,1838.68
263,2025-07-08,CUST0474,Customer 0474,Jeans,Fashion,North,3,2500,6300.0,0.16,1511.73
264,2025-08-09,CUST0309,Customer 0309,Headphones,Electronics,East,5,3000,14100.0,0.06,1446.26
265,2025-12-05,CUST0152,Customer 0152,Chair,Furniture,West,4,7000,24640.0,0.12,4281.09
